,nth_percentile,m_prop,f_prop,avg_motivation,avg_anxiety,avg_interest,avg_work_ethic,avg_parents,avg_behavior,avg_self,m_motivation,m_anxiety,m_interest,m_work_ethic,m_parents,m_behavior,m_self,f_motivation,f_anxiety,f_interest,f_work_ethic,f_parents,f_behavior,f_self
39,0.39,0.509338347996948,0.490661652003052,2.9888297790160525,2.344849282160244,2.4270350547601596,2.871825632442371,3.0559280062817997,1.6162914777972555,2.5899858191523477,3.0524203763566167,2.2590068577027296,2.4919397449575778,2.827960263691989,3.092476100173512,1.6778676907018155,2.697677652905702,2.923115588413932,2.434032718058533,2.3600362915491035,2.9170091235685534,3.018226373025083,1.5530174770757972,1.5530174770757972
40,0.4,0.5099326610882682,0.4900673389117318,2.9894695644889366,2.340038472108151,2.427875962239795,2.8723016461335793,3.0562412172444815,1.615512051368563,2.5944471525759996,3.0530410584035472,2.254484609247984,2.4920823232062723,2.8279739842593368,3.092795208076511,1.6765452137329246,2.701714024687732,2.92358541864358,2.4291082850640064,2.361407471485326,2.9180884310536337,3.0184304823900603,1.5526222129454204,1.5526222129454204
41,0.41000000000000003,0.5103095661885317,0.48969043381146826,2.990597012542638,2.3357167415179267,2.428607808941724,2.872931232190561,3.056529057059252,1.6148839208712096,2.598309768118146,3.0546858677029793,2.2502515207005316,2.4928217510632504,2.8286070643055647,3.0931260750905682,1.675650699739509,2.7055293658577337,2.924054992136233,2.42483594144371,2.362007148987951,2.918804588639166,3.01860061505799,1.5521597613812022,1.5521597613812022
42,0.42,0.5108139196375953,0.48918608036240474,2.9915471949410404,2.330793269231184,2.429711068909387,2.873334306444588,3.0568704388010706,1.6144597518242607,2.6027168256957665,3.0558545933263264,2.2450807839950984,2.49403051013456,2.82894700696663,3.0934173519880366,1.6751331525816062,2.710080360012822,2.924625183679332,2.4203375819658306,2.3628491434642114,2.919388957666293,3.0189005152327355,1.5516812662859678,1.5516812662859678
43,0.43,0.511196199902469,0.488803800097531,2.992667874688815,2.326112574903966,2.4305691245384247,2.8738418902153557,3.0574245586461286,1.6140489202731465,2.6075819397991795,3.057173303118593,2.2403951916179925,2.494879632134163,2.82920547532861,3.0939990954315864,1.6744173699972775,2.7150128002614142,2.9254224132112405,2.4158421699358223,2.3635941091630235,2.9202405689476625,3.019357073993193,1.551476730141888,1.551476730141888
44,0.44,0.5118252929673142,0.4881747070326859,2.9937728403919017,2.321575700691903,2.432017334449269,2.874548113232637,3.05747586235492,1.61371988019764,2.611945698278251,3.058498738896809,2.236190918028128,2.4963769311122106,2.8298675466471157,3.0938249268195444,1.6738289678982836,2.7191085129703656,2.9261023594964573,2.411115487084442,2.3648027146827126,2.9211382427443806,3.019536722512665,1.5512278108210715,1.5512278108210715
45,0.45,0.5121832577492405,0.4878167422507596,2.9950743833709814,2.316966690454117,2.433398693184092,2.8752340450604783,3.0578331536749843,1.6136043381432885,2.616671669013761,3.0598090258422705,2.231583441952496,2.4972444245710133,2.830334344904248,3.0939814347501224,1.6734932338946444,2.723883320193672,2.927248569092396,2.406608625896558,2.3665793106675714,2.922157508495168,3.0200216640655784,1.5512054194062563,1.5512054194062563
46,0.46,0.5127538375896963,0.4872461624103037,2.9964372271979633,2.312155580173061,2.4349117595666607,2.875982530470739,3.0581622021648993,1.6131039745516422,2.621315070103605,3.0612742595932443,2.2269406706006536,2.4986124222330903,2.8310173494737016,3.094549050933331,1.672712915703463,2.7285824000733188,2.9283040907790596,2.4017506522863044,2.36805066434276,2.9231092077544374,3.0199916202783252,1.5508214657244324,1.5508214657244324
47,0.47000000000000003,0.5135922103939062,0.48640778960609377,2.9975740793335226,2.3075754320637745,2.4361952223124765,2.8765047472870795,3.05836242632709,1.6127880191189339,2.6255159699275286,3.0622644770959377,2.2225950470875846,2.49948000924428,2.8312516764042925,3.0948124618387043,1.67197473520213,2.732228476859738,2.9293106173920447,2.3971946344932324,2.3695034035972187,2.924128188030073,3.0199639313958033,1.5507015928383256,1.5507015928383256
48,0.48,0.5143649363252857,0.4856350636747143,2.9988036472916866,2.3027063558267904,2.4378329835934713,2.876927330125193,3.0584643504153033,1.6126380880121396,2.6307093827098456,3.063449125689473,2.21785024926881,2.501112117966884,2.8317903250277774,3.0948305038048285,1.671525977484996,2.736905835984573,2.9303775061489157,2.39250839641083,2.3709446683584616,2.9245830756285427,3.0200385885243586,1.5506661642146176,1.5506661642146176
49,0.49,0.5151116474096913,0.4848883525903087,3.0001567639012694,2.2979977801344127,2.439529568319174,2.8774238169781117,3.059074310924459,1.6123364598662,2.6353744542705058,3.064571275135748,2.21350452881098,2.5023845711960555,2.83211376223587,3.0950185867649362,1.6709838946532174,2.7412854227792036,2.93171991885381,2.3876493667488754,2.3728463325757674,2.9254354538784573,3.02095216269385,1.5503918963588283,1.5503918963588283
50,0.5,0.5156542835606338,0.4843457164393662,3.001719150965297,2.2930342623939763,2.4414566513242284,2.8780527836592915,3.059550684610153,1.6120400229712417,2.640341168705712,3.065943924096825,2.2085898459083118,2.503662702043306,2.8323651996979855,3.095199060365915,1.67031819352939,2.745695788100297,2.9333007217737235,2.382819843342029,2.3752838660282114,2.926594721502961,3.021635783190564,1.5503122076099387,1.5503122076099387
51,0.51,0.5165756531966731,0.4834243468033269,3.0032237111554805,2.2884068251289986,2.443508405112977,2.8784581906373377,3.0600172378317096,1.6121394872851083,2.6454994081996315,3.067250303375517,2.2042168900436194,2.5056010928961747,2.8325204949405554,3.0955388096566416,1.6703510951821974,2.750205349093428,2.9347435965353745,2.3782576817969616,2.3771967054392085,2.9274647019431006,3.02208715159045,1.5502267867341382,1.5502267867341382
52,0.52,0.5175256493840716,0.48247435061592836,3.0048412703597958,2.283041405468385,2.445382580569124,2.8790065107514944,3.0607875325595533,1.611926875262826,2.6511052259651877,3.0687224864087588,2.1991166212672884,2.5069672856998277,2.833044812220174,3.096109355900921,1.6698673917191376,2.7553814748660033,2.9361988343724588,2.3729884587050574,2.3793092917831644,2.928264925940023,3.0229005902069237,1.550019027685282,1.550019027685282
53,0.53,0.5182047813543814,0.48179521864561853,3.0060497307528258,2.2779849191524537,2.4475125391535486,2.879931391931069,3.061113530049794,1.6119165298394933,2.6565597196007764,3.070083641689793,2.1943769785666043,2.5088157233595734,2.8341352643195563,3.096487599744342,1.6699488963158713,2.76066324208332,2.9370361138805805,2.3678341373636655,2.381531325401448,2.929178193198569,3.023062341550254,1.5497125758480401,1.5497125758480401
54,0.54,0.5189645061797477,0.4810354938202524,3.007654486725181,2.27264781667668,2.4499515120059003,2.8808952452614127,3.061520302819554,1.6119350959891472,2.662327959916275,3.072003935716628,2.1891961329624996,2.5114890733748205,2.8352553444880115,3.0963813546266783,1.669946773340386,2.76624138709287,2.938098243026702,2.362636201356601,2.38353261101092,2.93010737307845,3.0239176549304614,1.5495635112463388,1.5495635112463388
55,0.55,0.5198907063809532,0.48010929361904675,3.009213652229042,2.26698045607207,2.452087886002332,2.881591918452444,3.061838610446831,1.6120846931772022,2.6682060315668736,3.0737359738625103,2.184375464533279,2.513545359329681,2.8358651502842758,3.0967969356911964,1.6699275949093755,2.7712698950219545,2.9392309926657467,2.3564165215736605,2.385524076848122,2.931063554142761,3.0240035769651294,1.549687722925068,1.549687722925068
56,0.56,0.5208201700809219,0.47917982991907815,3.0108165112119765,2.261841103915906,2.4542179343440473,2.88248382944326,3.062079287331525,1.6120074284199744,2.673646006610438,3.0748509951881013,2.1797239724799287,2.5152721988401905,2.8366728558023064,3.0966473225331095,1.669707199448846,2.776136771982136,2.9410989894179105,2.3510583159817524,2.3878372335668505,2.9322335800022383,3.0245196186829673,1.5495289000954882,1.5495289000954882
57,0.5700000000000001,0.5219092032059446,0.4780907967940554,3.0125800032074177,2.2565036710721498,2.45701954968513,2.883302950078709,3.0625891304780968,1.6122085610867685,2.679186613442333,3.0764522792619267,2.174900460064379,2.5178171537341845,2.8372108334861323,3.0968778953865534,1.6693623245478326,2.780988249897678,2.9427528381347656,2.3455676181993126,2.3906340740287924,2.9335809385056404,3.025167253970355,1.5500489476260402,1.5500489476260402
58,0.58,0.5226170847564088,0.4773829152435913,3.0141242726858524,2.2503616071766306,2.4597735778443113,2.884393567290823,3.0632998806520293,1.612205640590633,2.6853034203194275,3.077949578631624,2.1691991017963357,2.5208992738782348,2.8383813593578178,3.0973223776821954,1.6694926535135057,2.7866862923358364,2.94416654924616,2.3392874603749396,2.392853222948712,2.9347128590248737,3.0260654938763496,1.5497359707488545,1.5497359707488545
59,0.59,0.5235265156843438,0.4764734843156562,3.0160611642767603,2.244881422772825,2.4624036826544526,2.8852184231483804,3.0637670248976185,1.6123671132072572,2.691114596289916,3.0799040130705606,2.1636342241898383,2.5232498610420384,2.8392175361528023,3.0976428012514985,1.6693702430280055,2.792586257741029,2.945786566469162,2.3341989522021875,2.3955171083097504,2.935748933077127,3.0265357348251345,1.5499231425444244,1.5499231425444244
60,0.6,0.5245420868491459,0.47545791315085406,3.017851971856339,2.2390656432184635,2.4647741798875407,2.8857227124657268,3.0644033844361718,1.6128184256266271,2.6972372980583486,3.081500670940808,2.158359393793496,2.52530458180731,2.8392887924902626,3.0981000794753193,1.669470053002207,2.7980952380951885,2.9475273050755315,2.3281614632606686,2.397975848757795,2.9369404293810564,3.0272263031343676,1.5505033196802538,1.5505033196802538
61,0.61,0.5257668711656441,0.4742331288343558,3.0205775882873462,2.232970150947785,2.4685122041658607,2.8868248271976555,3.064943430195251,1.6132279473582098,2.7036558300610536,3.0838099680374373,2.152747049579269,2.52835865515814,2.8402932251331903,3.0983799856450225,1.6697030831305633,2.80432687853234,2.9504039306868517,2.3220572132492476,2.4021570993897567,2.938378306425587,3.027882899775943,1.550829504849413,1.550829504849413
62,0.62,0.5265885082142258,0.4734114917857743,3.022633414115436,2.227470656155856,2.4718218536537018,2.887890669047289,3.065611753172875,1.6140748854892282,2.709405454030401,3.0856178316043126,2.147601487644863,2.5312794089968005,2.841270844636909,3.0987658206266024,1.6701924440313205,2.8099620972836132,2.952512847312952,2.316500079048449,2.405680212168269,2.939705121825133,3.028746894355465,1.551866114778721,1.551866114778721
63,0.63,0.527795246230988,0.472204753769012,3.0243622189869988,2.2215170014665873,2.474621086825611,2.8885368209878686,3.066476676591978,1.614332003776056,2.715895217413464,3.0869377023950753,2.142252339464209,2.5340165844408378,2.8418058365934082,3.0992100596481804,1.670201820499992,2.816051099611894,2.954367356453753,2.3103500650945965,2.408236942309074,2.940729089451842,3.0299051392890575,1.552094944446442,1.552094944446442
64,0.64,0.5288244342908119,0.471175565709188,3.026140138799506,2.216569612161505,2.4775393007773014,2.8890916499483477,3.066768073246219,1.6149629535783872,2.72173264023027,3.0880230168516234,2.137954188373299,2.5368859887620085,2.8425010141240246,3.098930171800512,1.6708233347124535,2.82094515075669,2.9566431565148354,2.305036105114122,2.410928628234293,2.941352394425714,3.0306908533342747,1.5524863028912006,1.5524863028912006
65,0.65,0.5299151834554802,0.4700848165445199,3.02894998166024,2.2105603370665716,2.481269723158574,2.88997680777499,3.0677433665458356,1.6158923211043805,2.7283436845524824,3.0904784002699968,2.13190810682398,2.5409520668425682,2.843259138155228,3.0997103613691586,1.6719771727499704,2.827391903150686,2.959524172204345,2.2994706356207026,2.4139545974818772,2.942635748198878,3.031713848508031,1.5528617648743057,1.5528617648743057
